company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,sched_dep,actual_dep,delay_min,passengers,Hot Transfer,Origin,Transfer,transfer_ratio,ssr_count,tight_ground,high_load,delay_norm,ssr_norm,bag_ratio_norm,load_norm,tight_flag,high_load_flag,difficulty_score,daily_rank,difficulty_cat
G7,4610,2025-08-15,ORD,XNA,2025-08-15T12:41:00Z,2025-08-15T14:35:00Z,2025-08-15T12:38:00Z,2025-08-15T14:28:00Z,50,CRJ-550,Express,59,71,29,2025-08-15 12:41:00+00:00,2025-08-15 12:38:00+00:00,-3.0,52,6,5,17,17.0,0.0,False,False,0.013539651837524177,0.0,0.04857142857142857,0.09297912713472486,0,0,0.03237200669248794,502.0,Easy
UA,1414,2025-08-13,ORD,BOI,2025-08-13T08:45:00Z,2025-08-13T11:43:00Z,2025-08-13T08:40:00Z,2025-08-13T11:09:00Z,150,A320-200,Mainline,59,78,46,2025-08-13 08:45:00+00:00,2025-08-13 08:40:00+00:00,-5.0,158,22,29,41,41.0,0.0,False,False,0.011605415860735008,0.0,0.11714285714285715,0.29411764705882354,0,0,0.08573372559855665,248.0,Medium
UA,1156,2025-08-13,ORD,MSY,2025-08-13T19:55:00Z,2025-08-13T22:25:00Z,2025-08-13T19:56:00Z,2025-08-13T22:17:00Z,179,B737-MAX9,Mainline,73,62,56,2025-08-13 19:55:00+00:00,2025-08-13 19:56:00+00:00,1.0,72,6,20,22,22.0,0.0,False,False,0.017408123791102514,0.0,0.06285714285714286,0.13092979127134724,0,0,0.043979823963028776,416.0,Medium
UA,247,2025-08-13,ORD,OMA,2025-08-13T12:45:00Z,2025-08-13T14:22:00Z,2025-08-13T12:38:00Z,2025-08-13T14:07:00Z,150,A320-200,Mainline,69,86,46,2025-08-13 12:45:00+00:00,2025-08-13 12:38:00+00:00,-7.0,114,17,10,34,34.0,1.0,False,False,0.00967117988394584,0.1111111111111111,0.09714285714285714,0.21062618595825425,0,0,0.08667738480762827,244.0,Medium
UA,2378,2025-08-08,ORD,LAX,2025-08-08T21:42:00Z,2025-08-09T00:15:00Z,2025-08-08T21:50:00Z,2025-08-08T23:59:00Z,200,A321-2NX,Mainline,77,94,62,2025-08-08 21:42:00+00:00,2025-08-08 21:50:00+00:00,8.0,238,0,50,106,106.0,0.0,False,True,0.024177949709864602,0.0,0.3028571428571429,0.4459203036053131,0,1,0.15700887420545057,75.0,Difficult
OO,5930,2025-08-14,ORD,FAR,2025-08-14T13:20:00Z,2025-08-14T15:29:00Z,2025-08-14T15:00:00Z,2025-08-14T16:49:00Z,50,CRJ-200,Express,205,91,29,2025-08-14 13:20:00+00:00,2025-08-14 15:00:00+00:00,100.0,53,1,25,21,21.0,1.0,False,False,0.11315280464216634,0.1111111111111111,0.06,0.09487666034155598,0,0,0.08714339568318333,257.0,Medium
YX,3628,2025-08-11,ORD,IND,2025-08-11T17:50:00Z,2025-08-11T20:03:00Z,2025-08-11T17:45:00Z,2025-08-11T19:54:00Z,76,ERJ-175,Express,45,38,34,2025-08-11 17:50:00+00:00,2025-08-11 17:45:00+00:00,-5.0,76,14,30,21,21.0,0.0,False,False,0.011605415860735008,0.0,0.06,0.13851992409867173,0,0,0.04318560957795485,439.0,Medium
OO,5564,2025-08-01,ORD,SBN,2025-08-01T14:20:00Z,2025-08-01T16:18:00Z,2025-08-01T14:29:00Z,2025-08-01T16:29:00Z,50,CRJ-550,Express,57,87,29,2025-08-01 14:20:00+00:00,2025-08-01 14:29:00+00:00,9.0,55,2,1,33,33.0,1.0,False,False,0.025145067698259187,0.1111111111111111,0.09428571428571429,0.09867172675521822,0,0,0.06835723073988648,376.0,Medium
UA,2361,2025-08-13,ORD,LAX,2025-08-13T07:10:00Z,2025-08-13T09:40:00Z,2025-08-13T07:07:00Z,2025-08-13T09:15:00Z,234,B757-300,Mainline,662,498,66,2025-08-13 07:10:00+00:00,2025-08-13 07:07:00+00:00,-3.0,143,17,55,30,30.0,1.0,False,False,0.013539651837524177,0.1111111111111111,0.08571428571428572,0.26565464895635676,0,0,0.09655790470760797,207.0,Medium
YX,3520,2025-08-05,ORD,CVG,2025-08-05T21:16:00Z,2025-08-05T23:46:00Z,2025-08-05T21:16:00Z,2025-08-05T23:30:00Z,76,ERJ-175,Express,162,166,34,2025-08-05 21:16:00+00:00,2025-08-05 21:16:00+00:00,0.0,71,16,3,12,12.0,0.0,False,False,0.01644100580270793,0.0,0.03428571428571429,0.12903225806451613,0,0,0.03759589621085846,445.0,Easy
G7,4546,2025-08-06,ORD,AVP,2025-08-06T18:35:00Z,2025-08-06T21:43:00Z,2025-08-06T19:14:00Z,2025-08-06T22:06:00Z,50,CRJ-550,Express,-5,23,29,2025-08-06 18:35:00+00:00,2025-08-06 19:14:00+00:00,39.0,46,0,8,20,20.0,0.0,True,False,0.05415860735009671,0.0,0.05714285714285714,0.08159392789373815,1,0,0.14399493921234807,114.0,Medium
OO,5362,2025-08-14,ORD,MKE,2025-08-14T21:40:00Z,2025-08-14T22:45:00Z,2025-08-14T21:35:00Z,2025-08-14T22:20:00Z,50,CRJ-200,Express,90,66,29,2025-08-14 21:40:00+00:00,2025-08-14 21:35:00+00:00,-5.0,60,0,17,38,38.0,0.0,False,False,0.011605415860735008,0.0,0.10857142857142857,0.10815939278937382,0,0,0.046827789030380984,412.0,Medium
OO,5251,2025-08-03,ORD,ASE,2025-08-03T19:35:00Z,2025-08-03T21:44:00Z,2025-08-03T19:43:00Z,2025-08-03T22:00:00Z,70,ERJ-175,Express,68,91,34,2025-08-03 19:35:00+00:00,2025-08-03 19:43:00+00:00,8.0,73,13,30,15,15.0,0.0,False,False,0.024177949709864602,0.0,0.04285714285714286,0.13282732447817835,0,0,0.04239027838002363,451.0,Easy
G7,4429,2025-08-07,ORD,FSD,2025-08-07T15:52:00Z,2025-08-07T17:44:00Z,2025-08-07T15:51:00Z,2025-08-07T17:36:00Z,50,CRJ-550,Express,57,78,29,2025-08-07 15:52:00+00:00,2025-08-07 15:51:00+00:00,-1.0,50,3,3,18,18.0,0.0,False,False,0.015473887814313345,0.0,0.05142857142857143,0.08918406072106262,0,0,0.03276469277422081,513.0,Easy
UA,1899,2025-08-01,ORD,YYC,2025-08-01T20:05:00Z,2025-08-01T22:53:00Z,2025-08-01T21:19:00Z,2025-08-01T23:47:00Z,126,A319-100,Mainline,70,102,52,2025-08-01 20:05:00+00:00,2025-08-01 21:19:00+00:00,74.0,178,2,51,36,36.0,3.0,False,False,0.08800773694390715,0.3333333333333333,0.10285714285714286,0.33206831119544594,0,0,0.18005407856035657,59.0,Difficult
UA,2137,2025-08-03,ORD,SLC,2025-08-03T09:02:00Z,2025-08-03T11:40:00Z,2025-08-03T09:00:00Z,2025-08-03T11:40:00Z,166,B737-800,Mainline,68,76,51,2025-08-03 09:02:00+00:00,2025-08-03 09:00:00+00:00,-2.0,180,12,31,46,46.0,0.0,False,False,0.014506769825918761,0.0,0.13142857142857142,0.33586337760910817,0,0,0.09781042075531156,239.0,Medium
UA,1576,2025-08-10,ORD,LGA,2025-08-10T20:00:00Z,2025-08-10T23:22:00Z,2025-08-10T20:00:00Z,2025-08-10T23:34:00Z,166,B737-800,Mainline,80,73,51,2025-08-10 20:00:00+00:00,2025-08-10 20:00:00+00:00,0.0,170,0,37,13,13.0,0.0,False,False,0.01644100580270793,0.0,0.037142857142857144,0.31688804554079697,0,0,0.0757384822775432,329.0,Medium
UA,2004,2025-08-11,ORD,SYR,2025-08-11T13:45:00Z,2025-08-11T16:44:00Z,2025-08-11T13:53:00Z,2025-08-11T16:39:00Z,150,A320-200,Mainline,84,102,46,2025-08-11 13:45:00+00:00,2025-08-11 13:53:00+00:00,8.0,171,18,19,64,64.0,0.0,False,False,0.024177949709864602,0.0,0.18285714285714286,0.3187855787476281,0,0,0.10758192923391358,183.0,Medium
UA,343,2025-08-02,ORD,SFO,2025-08-02T10:53:00Z,2025-08-02T13:40:00Z,2025-08-02T10:52:00Z,2025-08-02T13:23:00Z,200,A321-2NX,Mainline,1079,1115,62,2025-08-02 10:53:00+00:00,2025-08-02 10:52:00+00:00,-1.0,274,0,94,34,34.0,0.0,False,True,0.015473887814313345,0.0,0.09714285714285714,0.5142314990512333,0,1,0.12691703758311212,200.0,Medium
UA,2370,2025-08-11,ORD,BOS,2025-08-11T14:28:00Z,2025-08-11T18:06:00Z,2025-08-11T14:28:00Z,2025-08-11T18:06:00Z,179,B737-900,Mainline,79,69,56,2025-08-11 14:28:00+00:00,2025-08-11 14:28:00+00:00,0.0,201,1,75,56,56.0,0.0,False,False,0.01644100580270793,0.0,0.16,0.3757115749525617,0,0,0.11207461673132471,158.0,Medium
UA,2189,2025-08-01,ORD,LGA,2025-08-01T13:00:00Z,2025-08-01T16:20:00Z,2025-08-01T12:56:00Z,2025-08-01T15:56:00Z,166,B737-MAX8,Mainline,96,94,60,2025-08-01 13:00:00+00:00,2025-08-01 12:56:00+00:00,-4.0,186,2,56,5,5.0,1.0,False,False,0.012572533849129593,0.1111111111111111,0.014285714285714285,0.3472485768500949,0,0,0.09830084060412295,295.0,Medium
UA,481,2025-08-12,ORD,RNO,2025-08-12T19:52:00Z,2025-08-12T22:19:00Z,2025-08-12T22:01:00Z,2025-08-13T00:27:00Z,126,B737-700,Mainline,95,51,43,2025-08-12 19:52:00+00:00,2025-08-12 22:01:00+00:00,129.0,77,1,23,50,50.0,0.0,False,False,0.14119922630560927,0.0,0.14285714285714285,0.14041745730550284,0,0,0.09901468792421192,229.0,Medium
UA,1209,2025-08-15,ORD,EWR,2025-08-15T21:25:00Z,2025-08-16T00:46:00Z,2025-08-15T21:30:00Z,2025-08-16T00:46:00Z,179,B737-900,Mainline,67,55,56,2025-08-15 21:25:00+00:00,2025-08-15 21:30:00+00:00,5.0,218,19,51,52,52.0,0.0,False,False,0.02127659574468085,0.0,0.14857142857142858,0.40796963946869075,0,0,0.11769119233142812,138.0,Medium
UA,2177,2025-08-15,ORD,MSN,2025-08-15T14:00:00Z,2025-08-15T15:03:00Z,2025-08-15T14:30:00Z,2025-08-15T15:36:00Z,126,A319-100,Mainline,9,42,43,2025-08-15 14:00:00+00:00,2025-08-15 14:30:00+00:00,30.0,138,21,0,65,65.0,0.0,True,False,0.045454545454545456,0.0,0.18571428571428572,0.25616698292220114,1,0,0.20201261736366102,34.0,Difficult
UA,909,2025-08-13,ORD,AMS,2025-08-13T18:15:00Z,2025-08-14T09:20:00Z,2025-08-13T18:49:00Z,2025-08-14T09:24:00Z,243,B787-8,Mainline,280,319,95,2025-08-13 18:15:00+00:00,2025-08-13 18:49:00+00:00,34.0,262,0,97,123,123.0,1.0,False,True,0.04932301740812379,0.1111111111111111,0.3514285714285714,0.49146110056926,0,1,0.20559706184422566,35.0,Difficult
UA,1584,2025-08-05,ORD,LAX,2025-08-05T10:50:00Z,2025-08-05T13:23:00Z,2025-08-05T10:50:00Z,2025-08-05T13:03:00Z,200,A321-2NX,Mainline,711,739,62,2025-08-05 10:50:00+00:00,2025-08-05 10:50:00+00:00,0.0,265,0,146,13,13.0,1.0,False,True,0.01644100580270793,0.1111111111111111,0.037142857142857144,0.4971537001897533,0,1,0.1340138354295567,125.0,Medium
YX,3690,2025-08-13,ORD,IND,2025-08-13T15:40:00Z,2025-08-13T17:53:00Z,2025-08-13T15:31:00Z,2025-08-13T17:36:00Z,76,ERJ-175,Express,57,45,34,2025-08-13 15:40:00+00:00,2025-08-13 15:31:00+00:00,-9.0,68,5,13,34,34.0,0.0,False,False,0.007736943907156672,0.0,0.09714285714285714,0.12333965844402277,0,0,0.046417586289522986,400.0,Medium
YX,3542,2025-08-15,ORD,YUL,2025-08-15T17:58:00Z,2025-08-15T21:29:00Z,2025-08-15T17:53:00Z,2025-08-15T21:27:00Z,76,ERJ-175,Express,53,71,42,2025-08-15 17:58:00+00:00,2025-08-15 17:53:00+00:00,-5.0,83,2,22,32,32.0,0.0,False,False,0.011605415860735008,0.0,0.09142857142857143,0.15180265654648956,0,0,0.0521278703532327,370.0,Medium
OO,4791,2025-08-14,ORD,SBN,2025-08-14T10:35:00Z,2025-08-14T12:33:00Z,2025-08-14T10:27:00Z,2025-08-14T12:20:00Z,50,CRJ-550,Express,56,32,29,2025-08-14 10:35:00+00:00,2025-08-14 10:27:00+00:00,-8.0,59,13,1,12,12.0,0.0,False,False,0.008704061895551257,0.0,0.03428571428571429,0.1062618595825427,0,0,0.030720733342316776,522.0,Easy
UA,2011,2025-08-11,ORD,YVR,2025-08-11T08:48:00Z,2025-08-11T11:33:00Z,2025-08-11T09:00:00Z,2025-08-11T11:29:00Z,150,A320-200,Mainline,67,103,60,2025-08-11 08:48:00+00:00,2025-08-11 09:00:00+00:00,12.0,162,16,53,68,68.0,0.0,False,False,0.02804642166344294,0.0,0.19428571428571428,0.30170777988614805,0,0,0.10761262533340535,182.0,Medium
UA,1946,2025-08-15,ORD,LGA,2025-08-15T15:00:00Z,2025-08-15T18:20:00Z,2025-08-15T14:59:00Z,2025-08-15T18:15:00Z,166,B737-MAX8,Mainline,105,114,51,2025-08-15 15:00:00+00:00,2025-08-15 14:59:00+00:00,-1.0,196,1,46,11,11.0,0.0,False,False,0.015473887814313345,0.0,0.03142857142857143,0.3662239089184061,0,0,0.08417266241368951,244.0,Medium
OO,5292,2025-08-02,ORD,MTY,2025-08-02T08:45:00Z,2025-08-02T11:41:00Z,2025-08-02T08:41:00Z,2025-08-02T11:46:00Z,76,ERJ-175,Express,756,749,42,2025-08-02 08:45:00+00:00,2025-08-02 08:41:00+00:00,-4.0,87,4,47,8,8.0,0.0,False,False,0.012572533849129593,0.0,0.022857142857142857,0.15939278937381404,0,0,0.04022174660093027,474.0,Easy
UA,845,2025-08-12,ORD,GRU,2025-08-12T21:20:00Z,2025-08-13T09:30:00Z,2025-08-12T23:15:00Z,2025-08-13T11:30:00Z,318,B787-10,Mainline,300,379,155,2025-08-12 21:20:00+00:00,2025-08-12 23:15:00+00:00,115.0,260,28,72,216,216.0,3.0,False,True,0.1276595744680851,0.3333333333333333,0.6171428571428571,0.4876660341555977,0,1,0.32592631726678317,7.0,Difficult
YX,3525,2025-08-13,ORD,YYZ,2025-08-13T16:43:00Z,2025-08-13T19:37:00Z,2025-08-13T16:41:00Z,2025-08-13T19:31:00Z,76,ERJ-175,Express,58,78,42,2025-08-13 16:43:00+00:00,2025-08-13 16:41:00+00:00,-2.0,90,4,21,22,22.0,0.0,False,False,0.014506769825918761,0.0,0.06285714285714286,0.16508538899430739,0,0,0.04994053731806568,380.0,Medium
UA,2677,2025-08-06,ORD,IAD,2025-08-06T17:56:00Z,2025-08-06T20:55:00Z,2025-08-06T21:10:00Z,2025-08-07T00:23:00Z,176,B757-200,Mainline,231,412,122,2025-08-06 17:56:00+00:00,2025-08-06 21:10:00+00:00,194.0,160,7,38,31,31.0,2.0,False,False,0.20406189555125726,0.2222222222222222,0.08857142857142856,0.29791271347248577,0,0,0.1829598415186045,60.0,Difficult
